#,,,,,
pl_name,ra,dec,sy_dist,sy_disterr1,sy_disterr2
11 Com b,185.1787793,17.7932516,93.1846,1.9238,-1.9238
11 UMi b,229.2745954,71.8239428,125.321,1.9765,-1.9765
14 And b,352.82415,39.2358367,75.4392,0.714,-0.714
14 Her b,242.6021014,43.8163621,17.9323,0.0073,-0.0073
16 Cyg B b,295.4656422,50.5168243,21.1397,0.011,-0.0111
17 Sco b,243.4620874,-11.8377905,124.953,2.59,-2.59
18 Del b,314.6078375,10.8391378,76.222,0.6217,-0.6217
1RXS J160929.1-210524 b,242.3762343,-21.0831403,139.135,1.332,-1.307
24 Boo b,217.1555242,49.8446488,95.9863,0.63685,-0.63685
24 Sex b,155.8684866,-0.9023998,72.0691,0.6854,-0.6728
24 Sex c,155.8684866,-0.9023998,72.0691,0.6854,-0.6728
2M0437 b,69.3405531,26.8502997,128.484,1.196,-1.174
2MASS J01225093-2439505 b,20.7128012,-24.6646128,33.8281,0.0864,-0.086
2MASS J0249-0557 c,42.4851627,-5.9599921,66.0613,0.4543,-0.4482
2MASS J03590986+2009361 b,59.7911026,20.1599759,117.435,2.32,-2.233
2MASS J11550485-7919108 b,178.7691634,-79.3197558,100.862,0.603,-0.596
2MASS J12073346-3932539 b,181.8890906,-39.5484399,64.308,0.6569,-0.644
2MASS J19383260+4603591 b,294.6359173,46.0664076,396.332,6.3885,-6.3885
2MASS J21252752-8138278 b,321.3662989,-81.6414894,34.1154,0.0811,-0.0807
2MASS J22362452+4751425 b,339.1025931,47.861683,69.5737,0.1592,-0.1585
30 Ari B b,39.2412736,24.6480103,44.657,0.1039,-0.1034
4 UMa b,130.0528099,64.3280504,73.4603,1.18605,-1.18605
42 Dra b,276.4975053,65.5633652,90.6545,1.3227,-1.3227
47 UMa b,164.8647611,40.4304931,13.7967,0.0289,-0.0289
47 UMa c,164.8647611,40.4304931,13.7967,0.0289,-0.0289
47 UMa d,164.8647611,40.4304931,13.7967,0.0289,-0.0289
51 Eri b,69.4007424,-2.4738245,29.7575,0.1213,-0.1203
51 Peg b,344.3675399,20.7690958,15.4614,0.0297,-0.0297
55 Cnc b,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc c,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc d,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc e,133.1468373,28.3298154,12.5855,0.0124,-0.0123
55 Cnc f,133.1468373,28.3298154,12.5855,0.0124,-0.0123
6 Lyn b,97.6960311,58.1611753,54.6599,0.2734,-0.2734
61 Vir b,199.596455,-18.3157745,8.50332,0.01737,-0.0173
61 Vir c,199.596455,-18.3157745,8.50332,0.01737,-0.0173
61 Vir d,199.596455,-18.3157745,8.50332,0.01737,-0.0173
7 CMa b,99.171276,-19.2561808,19.8101,0.1648,-0.1648
7 CMa c,99.171276,-19.2561808,19.8101,0.1648,-0.1648
70 Vir b,202.1064898,13.7763085,17.9011,0.056,-0.0557
75 Cet b,38.0391598,-1.0350269,82.9613,0.72365,-0.72365
75 Cet c,38.0391598,-1.0350269,82.9613,0.72365,-0.72365
8 UMi b,224.201685,74.9009379,162.552,0.651,-0.646
81 Cet b,39.4243555,-3.3963607,101.26,1.222,-1.222
91 Aqr b,348.9745031,-9.0878076,44.0304,0.51325,-0.51325
AB Aur b,73.9410446,30.5510888,162.127,1.526,-1.498
AB Pic b,94.8039208,-58.0541184,50.0475,0.0735,-0.0733
AF Lep b,81.7699216,-11.9011752,26.8564,0.0189,-0.0188
AU Mic b,311.2911369,-31.34245,9.7221,0.004625,-0.004625
AU Mic c,311.2911369,-31.34245,9.7221,0.004625,-0.004625
AU Mic d,311.2911369,-31.34245,9.7221,0.004625,-0.004625
BD+03 2562 b,177.5647268,2.7601075,1070.63,63.875,-63.875
BD+14 4559 b,318.4010002,14.6893834,49.352,0.0846,-0.0844
BD+15 2375 b,176.4820239,14.6163182,768.045,45.038,-45.038
